TRANSCRIPT	Comp_GMM_1	Comp_GMM_2	Comp_GMM_3	Del_GMM_1	Del_GMM_2	Del_GMM_3	OE_GMM_1	OE_GMM_2	OE_GMM_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
AFUB_008690-T	1075.1453590776082	1425.8211977062697	3305.5656723378997	1513.087127996146	1898.5285847789432	1141.0183472806066	1644.141373911459	1217.0023944267011	1554.8818198175752	604.4663469574208	1562.301249929846	1623.268928307003
AFUB_008700-T	7266.116672609208	12273.245211628479	10198.322240165884	9018.71695264106	10544.422434396376	8512.952915230173	10837.127993481776	9549.266869823834	13517.163223662732	5734.261831947425	9267.196381120853	11215.657990315443
AFUB_008710-T	4510.501346295628	4861.945444384431	4003.398083688449	4820.348716066773	4267.473321934156	4294.926074053504	4034.049150350182	3801.4465244496446	3916.197511653796	5087.591753558292	3872.873060253388	4695.037046589536
AFUB_008720-T	86.63361364468331	52.41989697449521	77.26001697095367	78.74432352549113	104.73416222716938	50.91976231033673	60.46754615085926	101.67624437665535	124.5623557312422	70.7933559499682	71.73832270086028	78.8363493560452
AFUB_008730-T	1539.4126732247573	1302.634439816206	1320.8970643421112	1406.4334239806074	1098.8211257392857	1637.7458245120547	1671.9756411872513	2106.150776373575	1408.8431958568083	1949.5401100068168	1637.0286694099088	1274.6792871784658
AFUB_008740-T	1478.3248687317114	1894.105610678427	1694.7358561370484	1455.2748398381905	1324.2658478214976	1562.9249492805395	1909.046814191414	1863.3728051068672	1642.9345195586257	1055.0932857927953	1673.8941963534066	1414.3051107367628
AFUB_008750-T	11874.35850609371	10323.225044177256	9009.514882257985	13542.030119206613	8337.904406457874	12025.377335820747	14091.817660109773	15631.166303864178	15228.821801555836	26787.11676291489	13132.098516629701	10073.955677954402
AFUB_008760-T	132.171795175863	149.39670637731135	147.874010976664	131.5727937387953	112.72236104110603	257.7163480196634	106.53805750389489	174.30213321712344	92.34795338695542	224.6327640720145	223.18589284712087	145.32483676475803
AFUB_008770-T	35.54199534140854	10.483979394899041	6.6460229652433265	5.980581533581605	11.538509397908491	21.822755275858597	2.8794069595647267	28.012842838466266	5.369067057381129	29.951035209601933	5.978193558405024	1.8996710688203664
AFUB_008780-T	9.996186189771151	0	0.8307528706554158	0	0	0	0	0	0	0	0	0
AFUB_008800-T	5623.410075423482	4004.006463901859	3797.3713717659057	5748.335617360852	3839.6608965655487	7029.005556471788	4631.046193299935	5784.133289794424	4424.1112552820505	18046.860124476512	6268.135945987667	4552.5617164280075
AFUB_008810-T	2555.6916025181577	1044.9032796916044	636.3566989220485	1245.9544861628342	1035.8031128737853	2092.9061488371053	886.8573435459358	1337.353867362334	734.4883734497386	5310.863106938961	1385.9445399568979	964.0830674263359
AFUB_008820-T	1189.546156582767	1320.1077388077044	1236.9910244059142	1076.5046760446887	1089.057771633363	859.4008863397647	1237.1851902929775	840.385285153988	1166.1613648631812	555.4555620689813	1047.1802383139466	1230.9868525955974
AFUB_008830-T	1217.3133404432424	1227.499254152763	930.4432151340658	1246.9512497517644	994.9745411581091	1476.673106999765	1110.4912840721295	1485.7181831364333	1155.423230748419	3117.630483181292	1368.0099592816828	1249.033727749391
AFUB_008840-T	1721.565399349476	1740.340579553241	1088.2862605585947	1681.5401745253612	1496.455911144132	2326.7213839355904	1451.2211076206222	2016.9246843695712	1471.1243737224295	3865.044952729995	1612.1195295832213	1445.6496833722988
AFUB_008850-T	2775.607698693123	4127.193221791923	4077.335089176781	3258.420172213044	3740.2522002143373	2552.223188452796	3923.6718835668676	3433.129516758699	4391.896852937764	1754.8583811444041	3077.7733169855196	4329.350365841615
AFUB_008860-T	2055.8822930296	1406.6005688156215	1443.0177363284574	2164.970515156541	1644.6813780249565	1847.6599466893613	1835.1420355625858	1753.3964591484441	2479.4351670986057	3110.8234297245644	1591.1958521288038	1641.3158034607966
AFUB_008870-T	1126.236977380883	491.87336661068	431.9914927408162	590.0840446467183	592.0142898773049	1163.880281379125	334.9710096293632	619.3950805394209	296.37250156743835	2978.766592664047	798.0888400470707	660.1356964150773
