TRANSCRIPT	WT_Azole_1	WT_Azole_2	WT_Azole_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
AFUB_049970-T	22.98665105637663	15.387651998232199	14.634422298351325	60.07345158641401	27.537891962353726	21.110107763369054
AFUB_049980-T	448.16722822527	224.07063911558154	343.24113969278767	1328.8904544291504	342.03150724521754	301.38399282010965
AFUB_049990-T	74.5834213972977	50.8425639369139	69.50640182867444	319.17932187286766	116.79963333876564	64.10197213785433
AFUB_050000-T	3.478433955567712	4.074011620283301	1.8470630085297788	5.514555126096598	4.355629113712555	3.1692720532473126
AFUB_050010-T	3.2175514089001336	3.0830358207549304	3.211047999444077	5.123451925664216	3.0374781977205982	3.1692720532473126
AFUB_050020-T	8.69608488891928	9.138999040094973	8.894318794920318	3.5199288038914456	7.278485492651245	6.779486305207295
AFUB_050030-T	346.68391757158196	138.48886798408978	193.85636683369464	944.4751187241613	423.9287967648918	294.71474206458055
AFUB_050040-T	13.333996829676229	15.360124892689742	9.8320584761739	15.644128017295314	15.330668262080378	15.598330279460688
AFUB_050050-T	22.03008171859551	24.967084727006444	23.443492031339503	44.82042676955108	33.03973926388538	36.26749584411707
AFUB_050060-T	6.20320722076242	5.367785580778674	7.98499546764412	11.263772172452626	9.39898914011657	6.0078374574601225
AFUB_050070-T	0.6666998414838116	0.4679607942217305	0.25574718579643096	0.6648754407350509	0.8596636408643202	0.4409421987126696
AFUB_050080-T	0.34784339555677124	0.3303252665094568	0.2273308318190497	0.821316720908004	0.08596636408643202	0.08267666225862555
AFUB_050090-T	27.131784853428154	32.78478270106359	25.60313493362047	37.81967948181143	40.60477930349139	39.51944455962301
AFUB_050100-T	6.724972314097577	5.835746375000404	7.132504848322685	22.019110184343155	11.490837332886414	8.377901775540721
AFUB_050110-T	20.34883864007112	15.80055858136902	18.726377271094222	57.25750854330085	46.85166842710546	20.72428333949547
AFUB_050120-T	17.30520892894937	14.5343117264161	22.875164951791877	26.67323826948851	32.95377289979895	29.54312731374886
AFUB_050130-T	24.146129041565867	43.19002859611148	42.39720013425277	53.111814618717595	66.30872216533457	83.99948885476356
AFUB_050140-T	2.6667993659352462	3.1105629262973853	2.784802689783359	8.01761560886385	5.731090939095469	6.55901520585096
AFUB_050150-T	0	0.13763552771227366	0.056832707954762425	0	0	0.0551177748390837
AFUB_050160-T	6.840920112616501	8.010387712854328	9.604727644354849	19.63338066170562	8.997812774379886	7.936959576828053
AFUB_050170-T	6.753959263727308	6.386288485849499	6.763092246616728	23.153309465597065	8.338737316383908	6.173190781977374
AFUB_050180-T	10.348341017813944	6.854249280071229	7.6155828659381655	41.37871860574611	20.37402828848439	10.031435020713232
AFUB_050190-T	869.9563322874848	784.5775621710449	1381.2905504865234	5392.218045001348	1788.1290284524816	1188.8904032790354
AFUB_050200-T	6.319155019281344	5.69811084728813	6.535761414797679	10.364234811458145	9.112434593161796	5.153511947454326
AFUB_050210-T	50.7851357512886	34.95942403891751	52.25767496440405	89.75818449923187	42.008896583569786	38.30685351316317
AFUB_050220-T	13.65285327560327	10.708044056014892	18.69796091711684	39.26676132341124	15.244701897993945	9.728287259098272
AFUB_050230-T	8.464189291881432	9.194053251179882	11.02554534322391	21.23690378347839	14.270416438347716	9.755846146517815
AFUB_050240-T	146.1811869827331	127.72576971698996	108.37997406973196	343.15394805937274	174.13919818441582	146.833752171319
AFUB_050250-T	1.391373582227085	1.0185029050708252	1.1366541590952486	1.212419921340387	0.5444536392140694	0.909443284844881
AFUB_050260-T	18.23279131710076	67.52398989564146	31.456903852961002	15.99612089768446	34.9023438190914	52.36188609712951
AFUB_050270-T	68.00338383134877	52.38408184729136	57.912529405902916	82.01434113067069	80.26392860203204	58.89334241556093
AFUB_050280-T	181.86412197693187	567.4162265466194	352.9311163990747	117.83939429027696	319.1071434888357	433.1705924603588
AFUB_050290-T	16.754456885984478	31.57359005719558	36.99809287855034	33.9086474774876	42.524694768088374	33.75963708893877
AFUB_050300-T	66.49606245060276	49.30104602653643	62.82855864398986	135.20437638947476	55.276372107575796	52.58235719648585
AFUB_050310-T	40.929572877180085	100.85931470755416	64.2777926968363	30.34960835355291	78.68787859378078	89.01520636512016
